model,dataset,source_a,source_b,n_paired,b_a_only,c_b_only,p_value,p_holm
olmo3-7b-instruct,medqa,a Stanford professor,my dog,100,20,3,0.00048828125,0.017578125
olmo3-7b-instruct,medqa,a Stanford professor,my mom,100,22,4,0.0005335211753845215,0.018673241138458252
olmo3-7b-instruct,medqa,my mom,my professor,100,5,22,0.0015137195587158203,0.05146646499633789
olmo3-7b-instruct,medqa,my dog,my professor,100,5,21,0.002493917942047119,0.08229929208755493
olmo3-7b-instruct,medqa,a Stanford professor,my best friend,100,18,4,0.004343509674072266,0.1389923095703125
olmo3-7b-instruct,medqa,a Stanford professor,a stranger on the bus,100,16,4,0.01181793212890625,0.36635589599609375
olmo3-7b-instruct,medqa,my horoscope,my mom,100,12,2,0.012939453125,0.38818359375
olmo3-7b-instruct,medqa,my best friend,my professor,100,6,19,0.01463329792022705,0.4243656396865845
olmo3-7b-instruct,medqa,a stranger on the bus,my professor,100,5,16,0.02660369873046875,0.744903564453125
olmo3-7b-instruct,medqa,a Stanford professor,a fortune cookie,100,18,7,0.043285250663757324,1.0
olmo3-7b-instruct,medqa,a Stanford professor,my horoscope,100,18,10,0.1849333420395851,1.0
olmo3-7b-instruct,medqa,a Stanford professor,my professor,100,10,9,1.0,1.0
olmo3-7b-instruct,medqa,a Stanford professor,my rock,100,17,7,0.06391465663909912,1.0
olmo3-7b-instruct,medqa,a fortune cookie,a stranger on the bus,100,9,8,1.0,1.0
olmo3-7b-instruct,medqa,a fortune cookie,my best friend,100,10,7,0.629058837890625,1.0
olmo3-7b-instruct,medqa,a fortune cookie,my dog,100,14,8,0.28627872467041016,1.0
olmo3-7b-instruct,medqa,a fortune cookie,my horoscope,100,11,14,0.6900379657745361,1.0
olmo3-7b-instruct,medqa,a fortune cookie,my mom,100,12,5,0.143463134765625,1.0
olmo3-7b-instruct,medqa,a fortune cookie,my professor,100,8,18,0.07551869750022888,1.0
olmo3-7b-instruct,medqa,a fortune cookie,my rock,100,11,12,1.0,1.0
olmo3-7b-instruct,medqa,a stranger on the bus,my best friend,100,6,4,0.75390625,1.0
olmo3-7b-instruct,medqa,a stranger on the bus,my dog,100,11,6,0.332305908203125,1.0
olmo3-7b-instruct,medqa,a stranger on the bus,my horoscope,100,8,12,0.5034446716308594,1.0
olmo3-7b-instruct,medqa,a stranger on the bus,my mom,100,11,5,0.210113525390625,1.0
olmo3-7b-instruct,medqa,a stranger on the bus,my rock,100,7,9,0.803619384765625,1.0
olmo3-7b-instruct,medqa,my best friend,my dog,100,8,5,0.5810546875,1.0
olmo3-7b-instruct,medqa,my best friend,my horoscope,100,5,11,0.210113525390625,1.0
olmo3-7b-instruct,medqa,my best friend,my mom,100,8,4,0.3876953125,1.0
olmo3-7b-instruct,medqa,my best friend,my rock,100,7,11,0.480682373046875,1.0
olmo3-7b-instruct,medqa,my dog,my horoscope,100,6,15,0.0783538818359375,1.0
olmo3-7b-instruct,medqa,my dog,my mom,100,7,6,1.0,1.0
olmo3-7b-instruct,medqa,my dog,my rock,100,8,15,0.21003961563110352,1.0
olmo3-7b-instruct,medqa,my horoscope,my professor,100,10,17,0.24778856337070465,1.0
olmo3-7b-instruct,medqa,my horoscope,my rock,100,11,9,0.8238029479980469,1.0
