model,dataset,source,condition,hit_field,n,n_clean,p_clean,p_truncated,rate_all,rate_clean
olmo3-7b-instruct,agieval,a Stanford professor,flip,uptake,98,46,0.46938775510204084,0.3469387755102041,0.32653061224489793,0.1956521739130435
olmo3-7b-instruct,agieval,a Stanford professor,neg_other,answer_changed,98,47,0.47959183673469385,0.336734693877551,0.6020408163265306,0.2978723404255319
olmo3-7b-instruct,agieval,a Stanford professor,neg_own,answer_changed,98,45,0.45918367346938777,0.35714285714285715,0.5102040816326531,0.26666666666666666
olmo3-7b-instruct,agieval,a Stanford professor,placebo,answer_changed,98,53,0.5408163265306123,0.29591836734693877,0.3469387755102041,0.1320754716981132
olmo3-7b-instruct,agieval,a fortune cookie,flip,uptake,98,51,0.5204081632653061,0.30612244897959184,0.29591836734693877,0.13725490196078433
olmo3-7b-instruct,agieval,a fortune cookie,neg_other,answer_changed,98,49,0.5,0.2857142857142857,0.45918367346938777,0.22448979591836735
olmo3-7b-instruct,agieval,a fortune cookie,neg_own,answer_changed,98,47,0.47959183673469385,0.3469387755102041,0.4387755102040816,0.3617021276595745
olmo3-7b-instruct,agieval,a fortune cookie,placebo,answer_changed,98,48,0.4897959183673469,0.3163265306122449,0.2755102040816326,0.0625
olmo3-7b-instruct,agieval,a stranger on the bus,flip,uptake,98,47,0.47959183673469385,0.29591836734693877,0.22448979591836735,0.06382978723404255
olmo3-7b-instruct,agieval,a stranger on the bus,neg_other,answer_changed,98,43,0.4387755102040816,0.32653061224489793,0.6428571428571429,0.3953488372093023
olmo3-7b-instruct,agieval,a stranger on the bus,neg_own,answer_changed,98,51,0.5204081632653061,0.30612244897959184,0.47959183673469385,0.35294117647058826
olmo3-7b-instruct,agieval,a stranger on the bus,placebo,answer_changed,98,48,0.4897959183673469,0.3163265306122449,0.30612244897959184,0.125
olmo3-7b-instruct,agieval,my best friend,flip,uptake,98,46,0.46938775510204084,0.37755102040816324,0.22448979591836735,0.15217391304347827
olmo3-7b-instruct,agieval,my best friend,neg_other,answer_changed,98,46,0.46938775510204084,0.35714285714285715,0.5816326530612245,0.3695652173913043
olmo3-7b-instruct,agieval,my best friend,neg_own,answer_changed,98,50,0.5102040816326531,0.3469387755102041,0.5,0.32
olmo3-7b-instruct,agieval,my best friend,placebo,answer_changed,98,48,0.4897959183673469,0.35714285714285715,0.35714285714285715,0.14583333333333334
