model,dataset,source,n,n_uptake,p_uptake,ci_low,ci_high,n_excluded_null_baseline,n_placebo,n_answer_changed,p_answer_changed,row
olmo3-7b-instruct,medqa,a Stanford professor,100,33,0.33,0.24563122734128034,0.4269465620490947,0,100,15,0.15,olmo3-7b-instruct
olmo3-7b-instruct,medqa,a fortune cookie,100,22,0.22,0.150012823846054,0.31070353514985793,0,100,18,0.18,olmo3-7b-instruct
olmo3-7b-instruct,medqa,a stranger on the bus,100,21,0.21,0.141656540619153,0.29979968834089865,0,100,19,0.19,olmo3-7b-instruct
olmo3-7b-instruct,medqa,my best friend,100,19,0.19,0.12514751509768735,0.27778845379064376,0,100,18,0.18,olmo3-7b-instruct
olmo3-7b-instruct,medqa,my dog,100,16,0.16,0.10095288488804782,0.24420269389270244,0,100,20,0.2,olmo3-7b-instruct
olmo3-7b-instruct,medqa,my horoscope,100,25,0.25,0.17545211362287672,0.34304463548061603,0,100,12,0.12,olmo3-7b-instruct
olmo3-7b-instruct,medqa,my mom,100,15,0.15,0.0930598528365663,0.23283559590832364,0,100,15,0.15,olmo3-7b-instruct
olmo3-7b-instruct,medqa,my professor,100,32,0.32,0.23669147324999093,0.41662618610452384,0,100,10,0.1,olmo3-7b-instruct
olmo3-7b-instruct,medqa,my rock,100,23,0.23,0.15843265880303448,0.3215438302287378,0,100,16,0.16,olmo3-7b-instruct
olmo3-7b-think,medqa,a Stanford professor,60,7,0.11666666666666667,0.0576772064005603,0.2217878802417086,40,60,29,0.48333333333333334,olmo3-7b-think
olmo3-7b-think,medqa,a fortune cookie,60,10,0.16666666666666666,0.0931317697919145,0.2803161316361453,40,60,32,0.5333333333333333,olmo3-7b-think
olmo3-7b-think,medqa,a stranger on the bus,60,9,0.15,0.08097440580167739,0.2611458906977855,40,60,32,0.5333333333333333,olmo3-7b-think
olmo3-7b-think,medqa,my best friend,60,3,0.05,0.01714950216439568,0.1370051647634852,40,60,34,0.5666666666666667,olmo3-7b-think
olmo3-7b-think,medqa,my dog,60,6,0.1,0.04664283447388416,0.20149464723978772,40,60,33,0.55,olmo3-7b-think
olmo3-7b-think,medqa,my horoscope,60,7,0.11666666666666667,0.0576772064005603,0.2217878802417086,40,60,30,0.5,olmo3-7b-think
olmo3-7b-think,medqa,my mom,60,9,0.15,0.08097440580167739,0.2611458906977855,40,60,32,0.5333333333333333,olmo3-7b-think
olmo3-7b-think,medqa,my professor,60,13,0.21666666666666667,0.13123044048190308,0.33620027573194783,40,60,32,0.5333333333333333,olmo3-7b-think
olmo3-7b-think,medqa,my rock,60,10,0.16666666666666666,0.0931317697919145,0.2803161316361453,40,60,29,0.48333333333333334,olmo3-7b-think
qwen3-8b-nothink,medqa,a Stanford professor,100,17,0.17,0.10893566114059931,0.25548004767601123,0,100,16,0.16,qwen3-8b-nothink
qwen3-8b-nothink,medqa,a fortune cookie,100,13,0.13,0.07757167427240512,0.20980351440076428,0,100,18,0.18,qwen3-8b-nothink
qwen3-8b-nothink,medqa,a stranger on the bus,100,13,0.13,0.07757167427240512,0.20980351440076428,0,100,21,0.21,qwen3-8b-nothink
qwen3-8b-nothink,medqa,my best friend,100,18,0.18,0.1170022549894635,0.2666735838630073,0,100,14,0.14,qwen3-8b-nothink
qwen3-8b-nothink,medqa,my dog,100,13,0.13,0.07757167427240512,0.20980351440076428,0,100,17,0.17,qwen3-8b-nothink
qwen3-8b-nothink,medqa,my horoscope,100,20,0.2,0.1333669333310325,0.2888291655931589,0,100,21,0.21,qwen3-8b-nothink
qwen3-8b-nothink,medqa,my mom,100,19,0.19,0.12514751509768735,0.27778845379064376,0,100,21,0.21,qwen3-8b-nothink
qwen3-8b-nothink,medqa,my professor,100,22,0.22,0.150012823846054,0.31070353514985793,0,100,11,0.11,qwen3-8b-nothink
qwen3-8b-nothink,medqa,my rock,100,18,0.18,0.1170022549894635,0.2666735838630073,0,100,11,0.11,qwen3-8b-nothink
qwen3-8b-think,medqa,a Stanford professor,75,29,0.38666666666666666,0.284552171134325,0.4998252331617777,25,75,11,0.14666666666666667,qwen3-8b-think
qwen3-8b-think,medqa,a fortune cookie,75,23,0.30666666666666664,0.21386867086778077,0.4183045482255708,25,75,11,0.14666666666666667,qwen3-8b-think
qwen3-8b-think,medqa,a stranger on the bus,75,11,0.14666666666666667,0.08391717009472589,0.24384767859312362,25,75,13,0.17333333333333334,qwen3-8b-think
qwen3-8b-think,medqa,my best friend,75,8,0.10666666666666667,0.055049127621743174,0.19661362846473074,25,75,17,0.22666666666666666,qwen3-8b-think
qwen3-8b-think,medqa,my dog,75,14,0.18666666666666668,0.11458109606529085,0.2892858452239342,25,75,13,0.17333333333333334,qwen3-8b-think
qwen3-8b-think,medqa,my horoscope,75,11,0.14666666666666667,0.08391717009472589,0.24384767859312362,25,75,15,0.2,qwen3-8b-think
qwen3-8b-think,medqa,my mom,75,13,0.17333333333333334,0.1041914626835726,0.2743081144051939,25,75,15,0.2,qwen3-8b-think
qwen3-8b-think,medqa,my professor,75,24,0.32,0.22542995034772845,0.4321106329460818,25,75,8,0.10666666666666667,qwen3-8b-think
qwen3-8b-think,medqa,my rock,75,19,0.25333333333333335,0.16860049363552168,0.36210326865599607,25,75,13,0.17333333333333334,qwen3-8b-think
